,fundo,data_pagamento,cotacao,dy,rendimento
0,HGPO11,2024-11-14,118.3,"110,23%",130.4
1,HGPO11,2024-11-14,118.3,"48,22%",57.05
2,HGPO11,2024-10-14,112.61,"1,55%",1.75
3,HGPO11,2024-09-13,115.23,"1,48%",1.7
4,HGPO11,2024-08-14,116.48,"1,46%",1.7
5,HGPO11,2024-07-12,116.57,"1,46%",1.7
6,HGPO11,2024-06-14,115.84,"1,47%",1.7
7,HGPO11,2024-05-15,115.44,"1,30%",1.5
8,HGPO11,2024-04-12,115.03,"1,30%",1.5
9,HGPO11,2024-03-14,110.19,"1,36%",1.5
10,HGPO11,2024-02-16,110.76,"1,35%",1.5
11,HGPO11,2024-01-15,106.44,"1,41%",1.5
12,HGPO11,2023-12-14,104.12,"1,44%",1.5
13,HGPO11,2023-11-16,103.65,"1,45%",1.5
14,HGPO11,2023-10-16,104.94,"1,43%",1.5
15,HGPO11,2023-09-15,106.3,"1,51%",1.6
16,HGPO11,2023-08-14,108.91,"1,47%",1.6
17,HGPO11,2023-07-14,104.56,"1,53%",1.6
18,HGPO11,2023-06-15,99.19,"1,61%",1.6
19,HGPO11,2023-05-15,92.15,"1,74%",1.6
20,HGPO11,2023-04-17,92.19,"1,74%",1.6
21,HGPO11,2023-03-14,93.25,"1,72%",1.6
22,HGPO11,2023-02-14,96.59,"1,66%",1.6
23,HGPO11,2023-01-13,99.0,"1,62%",1.6
24,HGPO11,2022-12-14,96.85,"1,65%",1.6
25,HGPO11,2022-11-16,96.48,"1,66%",1.6
26,HGPO11,2022-10-17,98.54,"1,62%",1.6
27,HGPO11,2022-09-15,98.89,"1,62%",1.6
28,HGPO11,2022-08-12,95.54,"1,57%",1.5
29,HGPO11,2022-07-14,97.71,"1,38%",1.35
30,HGPO11,2022-06-14,97.79,"1,38%",1.35
31,HGPO11,2022-05-13,97.49,"1,38%",1.35
32,HGPO11,2022-04-14,97.14,"1,39%",1.35
33,HGPO11,2022-03-15,99.67,"1,35%",1.35
34,HGPO11,2022-02-14,97.03,"1,39%",1.35
35,HGPO11,2022-01-14,90.79,"1,49%",1.35
36,HGPO11,2021-12-14,83.88,"1,61%",1.35
37,HGPO11,2021-11-16,84.61,"1,54%",1.3
38,HGPO11,2021-10-15,84.25,"1,48%",1.25
39,HGPO11,2021-09-15,84.44,"1,48%",1.25
40,HGPO11,2021-08-13,85.68,"1,46%",1.25
41,HGPO11,2021-07-15,82.06,"1,91%",1.57
42,HGPO11,2021-06-15,82.76,"1,41%",1.17
43,HGPO11,2021-05-14,82.2,"1,23%",1.01
44,HGPO11,2021-04-15,83.88,"1,20%",1.01
45,HGPO11,2021-03-12,85.98,"1,17%",1.01
46,HGPO11,2021-02-12,87.11,"1,16%",1.01
47,HGPO11,2021-01-15,84.65,"1,16%",0.98
