,fundo,data_pagamento,cotacao,dy,rendimento
0,MCCI11,21.03.2025,"R$ 83,50","1,08%","R$ 0,90"
1,MCCI11,19.02.2025,"R$ 74,49","1,21%","R$ 0,90"
2,MCCI11,20.01.2025,"R$ 76,48","1,05%","R$ 0,80"
3,MCCI11,18.12.2024,"R$ 75,18","1,06%","R$ 0,80"
4,MCCI11,21.11.2024,"R$ 80,32","1,00%","R$ 0,80"
5,MCCI11,17.10.2024,"R$ 80,52","0,99%","R$ 0,80"
6,MCCI11,18.09.2024,"R$ 82,94","0,96%","R$ 0,80"
7,MCCI11,19.08.2024,"R$ 83,28","0,96%","R$ 0,80"
8,MCCI11,17.07.2024,"R$ 84,76","0,94%","R$ 0,80"
9,MCCI11,19.06.2024,"R$ 81,50","0,98%","R$ 0,80"
10,MCCI11,20.05.2024,"R$ 83,37","0,96%","R$ 0,80"
11,MCCI11,17.04.2024,"R$ 85,60","0,93%","R$ 0,80"
12,MCCI11,19.03.2024,"R$ 86,31","0,93%","R$ 0,80"
13,MCCI11,21.02.2024,"R$ 86,56","0,92%","R$ 0,80"
14,MCCI11,18.01.2024,"R$ 87,16","1,03%","R$ 0,90"
15,MCCI11,19.12.2023,"R$ 84,16","1,07%","R$ 0,90"
16,MCCI11,21.11.2023,"R$ 85,18","1,06%","R$ 0,90"
17,MCCI11,19.10.2023,"R$ 86,30","1,04%","R$ 0,90"
18,MCCI11,20.09.2023,"R$ 86,35","1,04%","R$ 0,90"
19,MCCI11,17.08.2023,"R$ 86,77","1,04%","R$ 0,90"
20,MCCI11,19.07.2023,"R$ 86,30","1,10%","R$ 0,95"
21,MCCI11,20.06.2023,"R$ 85,03","1,12%","R$ 0,95"
22,MCCI11,18.05.2023,"R$ 79,27","1,20%","R$ 0,95"
23,MCCI11,20.04.2023,"R$ 80,40","1,18%","R$ 0,95"
24,MCCI11,17.03.2023,"R$ 77,65","1,22%","R$ 0,95"
25,MCCI11,17.02.2023,"R$ 79,29","1,20%","R$ 0,95"
26,MCCI11,18.01.2023,"R$ 84,69","1,36%","R$ 1,15"
27,MCCI11,19.12.2022,"R$ 86,55","1,27%","R$ 1,10"
28,MCCI11,21.11.2022,"R$ 88,15","1,25%","R$ 1,10"
29,MCCI11,20.10.2022,"R$ 89,04","1,24%","R$ 1,10"
30,MCCI11,20.09.2022,"R$ 89,58","1,23%","R$ 1,10"
31,MCCI11,17.08.2022,"R$ 88,80","1,24%","R$ 1,10"
32,MCCI11,19.07.2022,"R$ 89,72","1,23%","R$ 1,10"
33,MCCI11,20.06.2022,"R$ 90,01","1,22%","R$ 1,10"
34,MCCI11,18.05.2022,"R$ 91,46","1,09%","R$ 1,00"
35,MCCI11,20.04.2022,"R$ 91,88","1,09%","R$ 1,00"
36,MCCI11,18.03.2022,"R$ 91,60","1,09%","R$ 1,00"
37,MCCI11,17.02.2022,"R$ 92,72","1,08%","R$ 1,00"
38,MCCI11,19.01.2022,"R$ 94,22","1,06%","R$ 1,00"
39,MCCI11,17.12.2021,"R$ 93,00","1,08%","R$ 1,00"
40,MCCI11,19.11.2021,"R$ 91,67","1,09%","R$ 1,00"
41,MCCI11,20.10.2021,"R$ 92,53","1,08%","R$ 1,00"
42,MCCI11,20.09.2021,"R$ 93,92","1,06%","R$ 1,00"
43,MCCI11,18.08.2021,"R$ 93,10","1,07%","R$ 1,00"
44,MCCI11,20.07.2021,"R$ 94,20","1,06%","R$ 1,00"
45,MCCI11,18.06.2021,"R$ 94,43","0,95%","R$ 0,90"
46,MCCI11,19.05.2021,"R$ 93,18","0,75%","R$ 0,70"
47,MCCI11,20.04.2021,"R$ 93,55","0,75%","R$ 0,70"
48,MCCI11,17.03.2021,"R$ 95,93","0,73%","R$ 0,70"
49,MCCI11,19.02.2021,"R$ 93,92","0,75%","R$ 0,70"
50,MCCI11,20.01.2021,"R$ 94,21","0,64%","R$ 0,60"
51,MCCI11,17.12.2020,"R$ 92,95","0,65%","R$ 0,60"
52,MCCI11,19.11.2020,"R$ 92,43","0,65%","R$ 0,60"
53,MCCI11,20.10.2020,"R$ 94,75","0,63%","R$ 0,60"
54,MCCI11,18.09.2020,"R$ 94,37","0,64%","R$ 0,60"
55,MCCI11,19.08.2020,"R$ 92,02","0,65%","R$ 0,60"
56,MCCI11,17.07.2020,"R$ 90,63","0,61%","R$ 0,55"
57,MCCI11,18.06.2020,"R$ 89,72","0,67%","R$ 0,60"
